Michelle walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Bill walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Lucy walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Lawrence walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Alan walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Carolyn walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Lauren walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Alex walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Dave walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Christopher walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Bill walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Francis walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
George walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Nick walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Gary walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Fiona walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Angela walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Harriet walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Lawrence walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Fred walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Eric walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Ralph walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Alfred walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Judy walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Betty walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Gary walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Ron walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Sue walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Kathy walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Arthur walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Richard walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Ann walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Alan walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Alex walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Virginia walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Lynn walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Joan walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Jason walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Carl walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Stephanie walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Christopher walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Wendy walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Jason walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Ruth walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Thomas walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Mike walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Deborah walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Kathryn walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Tim walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
Suzanne walked to the store.	ARG0VARGM-DIRARGM-DIRARGM-DIRO
